term,estimate,se,nct_id,model_n,outcome
I(age_std^2),-1.87,1.371,NCT00265096,36,early_withdrawal
como_cnt,-1.003,0.607,NCT00265096,36,early_withdrawal
I(como_cnt^2),0.178,0.103,NCT00265096,36,early_withdrawal
(Intercept),-0.838,0.646,NCT00265096,37,early_withdrawal
age_std,-0.641,1.696,NCT00265096,37,early_withdrawal
I(age_std^2),-1.989,1.687,NCT00265096,37,early_withdrawal
como_cnt,-1.223,0.622,NCT00265096,37,early_withdrawal
armtreat,-154.227,20477.927,NCT00265096,37,early_withdrawal
como_cnt:armtreat,35.73,4653.749,NCT00265096,37,early_withdrawal
(Intercept),-0.949,0.664,NCT00265096,38,early_withdrawal
age_std,-0.713,1.668,NCT00265096,38,early_withdrawal
I(age_std^2),-2.073,1.69,NCT00265096,38,early_withdrawal
armtreat,-19.968,4260.275,NCT00265096,38,early_withdrawal
como_cnt,7.851,1769.511,NCT00265096,38,early_withdrawal
I(como_cnt^2),-8.591,1769.51,NCT00265096,38,early_withdrawal
armtreat:como_cnt,-34.885,6754.948,NCT00265096,38,early_withdrawal
armtreat:I(como_cnt^2),15.561,2261.417,NCT00265096,38,early_withdrawal
(Intercept),-2.61,0.463,NCT00265096,39,early_withdrawal
age_std,-0.525,1.29,NCT00265096,39,early_withdrawal
I(age_std^2),-1.635,1.243,NCT00265096,39,early_withdrawal
(Intercept),-1.328,0.642,NCT00265096,40,early_withdrawal
armtreat,-11.32,299.227,NCT00265096,40,early_withdrawal
age_std,-0.701,1.587,NCT00265096,40,early_withdrawal
I(age_std^2),-1.929,1.554,NCT00265096,40,early_withdrawal
como_cnt,-0.461,0.378,NCT00265096,40,early_withdrawal
armtreat:age_std,430.44,7291.962,NCT00265096,40,early_withdrawal
armtreat:I(age_std^2),-3287.01,53840.512,NCT00265096,40,early_withdrawal
(Intercept),-1.047,0.664,NCT00265096,41,early_withdrawal
armtreat,-10.757,289.079,NCT00265096,41,early_withdrawal
age_std,-0.897,1.763,NCT00265096,41,early_withdrawal
I(age_std^2),-2.083,1.712,NCT00265096,41,early_withdrawal
como_cnt,-1.307,0.718,NCT00265096,41,early_withdrawal
I(como_cnt^2),0.188,0.118,NCT00265096,41,early_withdrawal
armtreat:age_std,413.564,7095.528,NCT00265096,41,early_withdrawal
armtreat:I(age_std^2),-3198.84,53548.457,NCT00265096,41,early_withdrawal
(Intercept),-0.838,0.646,NCT00265096,42,early_withdrawal
armtreat,-113.074,22804.956,NCT00265096,42,early_withdrawal
age_std,-0.641,1.696,NCT00265096,42,early_withdrawal
I(age_std^2),-1.989,1.687,NCT00265096,42,early_withdrawal
como_cnt,-1.223,0.622,NCT00265096,42,early_withdrawal
armtreat:age_std,-31.792,13891.758,NCT00265096,42,early_withdrawal
armtreat:I(age_std^2),-14.703,21398.883,NCT00265096,42,early_withdrawal
armtreat:como_cnt,27.903,4781.582,NCT00265096,42,early_withdrawal
(Intercept),-0.949,0.664,NCT00265096,43,early_withdrawal
armtreat,-31.796,12218.228,NCT00265096,43,early_withdrawal
age_std,-0.713,1.668,NCT00265096,43,early_withdrawal
I(age_std^2),-2.073,1.69,NCT00265096,43,early_withdrawal
como_cnt,7.864,1793.293,NCT00265096,43,early_withdrawal
I(como_cnt^2),-8.604,1793.292,NCT00265096,43,early_withdrawal
armtreat:age_std,-20.329,16221.157,NCT00265096,43,early_withdrawal
armtreat:I(age_std^2),-6.877,10998.948,NCT00265096,43,early_withdrawal
armtreat:como_cnt,-23.475,8567.422,NCT00265096,43,early_withdrawal
armtreat:I(como_cnt^2),13.831,2367.654,NCT00265096,43,early_withdrawal
(Intercept),-1.838,0.545,NCT00265096,44,early_withdrawal
armtreat,-11.896,336.215,NCT00265096,44,early_withdrawal
age_std,-0.866,1.578,NCT00265096,44,early_withdrawal
I(age_std^2),-1.923,1.502,NCT00265096,44,early_withdrawal
armtreat:age_std,417.528,8128.816,NCT00265096,44,early_withdrawal
armtreat:I(age_std^2),-3157.867,58507.602,NCT00265096,44,early_withdrawal
(Intercept),-3.85,0.776,NCT00265096,45,early_withdrawal
sexTRUE,0.879,0.812,NCT00265096,45,early_withdrawal
como_cnt,-0.086,0.334,NCT00265096,45,early_withdrawal
(Intercept),-3.516,0.774,NCT00265096,46,early_withdrawal
sexTRUE,0.79,0.819,NCT00265096,46,early_withdrawal
como_cnt,-0.786,0.601,NCT00265096,46,early_withdrawal
I(como_cnt^2),0.155,0.101,NCT00265096,46,early_withdrawal
(Intercept),-2.198,0.785,NCT00265096,47,early_withdrawal
sexTRUE,0.571,0.856,NCT00265096,47,early_withdrawal
como_cnt,-1.148,0.624,NCT00265096,47,early_withdrawal
armtreat,-157.083,21680.703,NCT00265096,47,early_withdrawal
como_cnt:armtreat,36.399,4930.075,NCT00265096,47,early_withdrawal
(Intercept),-2.28,0.799,NCT00265096,48,early_withdrawal
sexTRUE,0.558,0.855,NCT00265096,48,early_withdrawal
armtreat,-20.088,4563.865,NCT00265096,48,early_withdrawal
como_cnt,7.819,1852.588,NCT00265096,48,early_withdrawal
I(como_cnt^2),-8.557,1852.587,NCT00265096,48,early_withdrawal
armtreat:como_cnt,-35.188,6855.16,NCT00265096,48,early_withdrawal
armtreat:I(como_cnt^2),15.628,2334.4,NCT00265096,48,early_withdrawal
(Intercept),-3.932,0.714,NCT00265096,49,early_withdrawal
sexTRUE,0.881,0.812,NCT00265096,49,early_withdrawal
(Intercept),-2.903,0.81,NCT00265096,50,early_withdrawal
sexTRUE,0.673,0.843,NCT00265096,50,early_withdrawal
armtreat,-16.554,1387.275,NCT00265096,50,early_withdrawal
como_cnt,-0.131,0.355,NCT00265096,50,early_withdrawal
sexTRUE:armtreat,14.459,1387.275,NCT00265096,50,early_withdrawal
(Intercept),-2.495,0.81,NCT00265096,51,early_withdrawal
sexTRUE,0.556,0.853,NCT00265096,51,early_withdrawal
armtreat,-17.622,2259.102,NCT00265096,51,early_withdrawal
como_cnt,-0.881,0.631,NCT00265096,51,early_withdrawal
I(como_cnt^2),0.156,0.102,NCT00265096,51,early_withdrawal
sexTRUE:armtreat,15.516,2259.102,NCT00265096,51,early_withdrawal
(Intercept),-2.198,0.785,NCT00265096,52,early_withdrawal
sexTRUE,0.571,0.856,NCT00265096,52,early_withdrawal
armtreat,-117.419,11933.281,NCT00265096,52,early_withdrawal
como_cnt,-1.148,0.624,NCT00265096,52,early_withdrawal
sexTRUE:armtreat,-32.606,8199.368,NCT00265096,52,early_withdrawal
armtreat:como_cnt,34.824,3313.813,NCT00265096,52,early_withdrawal
(Intercept),-2.28,0.799,NCT00265096,53,early_withdrawal
sexTRUE,0.558,0.855,NCT00265096,53,early_withdrawal
armtreat,-19.206,5617.186,NCT00265096,53,early_withdrawal
como_cnt,7.814,1843.346,NCT00265096,53,early_withdrawal
I(como_cnt^2),-8.552,1843.346,NCT00265096,53,early_withdrawal
sexTRUE:armtreat,-1.624,9581.754,NCT00265096,53,early_withdrawal
armtreat:como_cnt,-34.898,7475.301,NCT00265096,53,early_withdrawal
armtreat:I(como_cnt^2),15.596,2357.806,NCT00265096,53,early_withdrawal
(Intercept),-3.045,0.724,NCT00265096,54,early_withdrawal
sexTRUE,0.693,0.84,NCT00265096,54,early_withdrawal
armtreat,-16.522,1388.337,NCT00265096,54,early_withdrawal
sexTRUE:armtreat,14.43,1388.338,NCT00265096,54,early_withdrawal
(Intercept),-2.035,1.029,NCT00265083,1,early_withdrawal
age_std,0.631,0.628,NCT00265083,1,early_withdrawal
sexTRUE,-2.141,1.147,NCT00265083,1,early_withdrawal
como_cnt,-0.046,0.423,NCT00265083,1,early_withdrawal
(Intercept),-3.021,1.453,NCT00265083,2,early_withdrawal
age_std,0.534,0.635,NCT00265083,2,early_withdrawal
sexTRUE,-2.035,1.153,NCT00265083,2,early_withdrawal
como_cnt,1.727,1.677,NCT00265083,2,early_withdrawal
I(como_cnt^2),-0.533,0.537,NCT00265083,2,early_withdrawal
(Intercept),-1.417,1.137,NCT00265083,3,early_withdrawal
age_std,0.549,0.598,NCT00265083,3,early_withdrawal
sexTRUE,-2.209,1.16,NCT00265083,3,early_withdrawal
como_cnt,-0.2,0.617,NCT00265083,3,early_withdrawal
armtreat,-1.412,1.367,NCT00265083,3,early_withdrawal
como_cnt:armtreat,0.354,0.797,NCT00265083,3,early_withdrawal
(Intercept),-1.781,1.348,NCT00265083,4,early_withdrawal
age_std,0.372,0.614,NCT00265083,4,early_withdrawal
sexTRUE,-2.369,1.213,NCT00265083,4,early_withdrawal
armtreat,-21.888,2183.923,NCT00265083,4,early_withdrawal
como_cnt,0.285,1.466,NCT00265083,4,early_withdrawal
I(como_cnt^2),-0.135,0.434,NCT00265083,4,early_withdrawal
armtreat:como_cnt,30.354,3275.881,NCT00265083,4,early_withdrawal
armtreat:I(como_cnt^2),-9.415,1091.959,NCT00265083,4,early_withdrawal
(Intercept),-2.119,0.709,NCT00265083,5,early_withdrawal
age_std,0.603,0.576,NCT00265083,5,early_withdrawal
sexTRUE,-2.128,1.141,NCT00265083,5,early_withdrawal
(Intercept),-1.374,1.147,NCT00265083,6,early_withdrawal
armtreat,-1.532,1.547,NCT00265083,6,early_withdrawal
age_std,0.477,0.748,NCT00265083,6,early_withdrawal
sexTRUE,-18.556,2370.309,NCT00265083,6,early_withdrawal
como_cnt,-0.049,0.454,NCT00265083,6,early_withdrawal
armtreat:age_std,0.254,1.17,NCT00265083,6,early_withdrawal
armtreat:sexTRUE,17.895,2370.309,NCT00265083,6,early_withdrawal
(Intercept),-2.161,1.523,NCT00265083,7,early_withdrawal
armtreat,-1.48,1.592,NCT00265083,7,early_withdrawal
age_std,0.45,0.768,NCT00265083,7,early_withdrawal
sexTRUE,-18.296,2344.298,NCT00265083,7,early_withdrawal
como_cnt,1.316,1.627,NCT00265083,7,early_withdrawal
I(como_cnt^2),-0.403,0.533,NCT00265083,7,early_withdrawal
armtreat:age_std,0.155,1.212,NCT00265083,7,early_withdrawal
armtreat:sexTRUE,17.614,2344.298,NCT00265083,7,early_withdrawal
(Intercept),-0.928,1.28,NCT00265083,8,early_withdrawal
armtreat,-2.628,2.277,NCT00265083,8,early_withdrawal
age_std,0.6,0.751,NCT00265083,8,early_withdrawal
sexTRUE,-18.672,2351.75,NCT00265083,8,early_withdrawal
como_cnt,-0.351,0.707,NCT00265083,8,early_withdrawal
armtreat:age_std,-0.079,1.235,NCT00265083,8,early_withdrawal
armtreat:sexTRUE,18.096,2351.751,NCT00265083,8,early_withdrawal
armtreat:como_cnt,0.613,0.93,NCT00265083,8,early_withdrawal
(Intercept),-1.058,1.476,NCT00265083,9,early_withdrawal
armtreat,-22.232,2427.965,NCT00265083,9,early_withdrawal
age_std,0.59,0.752,NCT00265083,9,early_withdrawal
sexTRUE,-19.618,3886.584,NCT00265083,9,early_withdrawal
como_cnt,-0.107,1.499,NCT00265083,9,early_withdrawal
I(como_cnt^2),-0.071,0.4,NCT00265083,9,early_withdrawal
armtreat:age_std,-0.29,1.295,NCT00265083,9,early_withdrawal
armtreat:sexTRUE,18.633,3886.585,NCT00265083,9,early_withdrawal
armtreat:como_cnt,29.686,3641.944,NCT00265083,9,early_withdrawal
armtreat:I(como_cnt^2),-9.238,1213.981,NCT00265083,9,early_withdrawal
(Intercept),-1.456,0.871,NCT00265083,10,early_withdrawal
armtreat,-1.544,1.54,NCT00265083,10,early_withdrawal
age_std,0.452,0.716,NCT00265083,10,early_withdrawal
sexTRUE,-18.538,2371.297,NCT00265083,10,early_withdrawal
armtreat:age_std,0.245,1.163,NCT00265083,10,early_withdrawal
armtreat:sexTRUE,17.886,2371.298,NCT00265083,10,early_withdrawal
(Intercept),-3.146,1.613,NCT00265083,11,early_withdrawal
age_std,-3.356,3.155,NCT00265083,11,early_withdrawal
I(age_std^2),-2.296,1.776,NCT00265083,11,early_withdrawal
sexTRUE,-2.128,1.144,NCT00265083,11,early_withdrawal
como_cnt,0.111,0.436,NCT00265083,11,early_withdrawal
(Intercept),-3.785,1.818,NCT00265083,12,early_withdrawal
age_std,-2.917,3.015,NCT00265083,12,early_withdrawal
I(age_std^2),-1.968,1.641,NCT00265083,12,early_withdrawal
sexTRUE,-2.052,1.152,NCT00265083,12,early_withdrawal
como_cnt,1.518,1.63,NCT00265083,12,early_withdrawal
I(como_cnt^2),-0.434,0.534,NCT00265083,12,early_withdrawal
(Intercept),-2.262,1.708,NCT00265083,13,early_withdrawal
age_std,-3.935,3.305,NCT00265083,13,early_withdrawal
I(age_std^2),-2.556,1.842,NCT00265083,13,early_withdrawal
sexTRUE,-2.428,1.212,NCT00265083,13,early_withdrawal
como_cnt,-0.262,0.761,NCT00265083,13,early_withdrawal
armtreat,-1.946,1.504,NCT00265083,13,early_withdrawal
como_cnt:armtreat,0.612,0.933,NCT00265083,13,early_withdrawal
(Intercept),-2.158,1.638,NCT00265083,14,early_withdrawal
age_std,-3.631,2.966,NCT00265083,14,early_withdrawal
I(age_std^2),-2.249,1.575,NCT00265083,14,early_withdrawal
sexTRUE,-2.811,1.327,NCT00265083,14,early_withdrawal
armtreat,-24.73,3215.146,NCT00265083,14,early_withdrawal
como_cnt,-0.298,1.583,NCT00265083,14,early_withdrawal
I(como_cnt^2),-0.004,0.513,NCT00265083,14,early_withdrawal
armtreat:como_cnt,33.669,4822.717,NCT00265083,14,early_withdrawal
armtreat:I(como_cnt^2),-10.232,1607.572,NCT00265083,14,early_withdrawal
(Intercept),-2.918,1.315,NCT00265083,15,early_withdrawal
age_std,-3.131,2.971,NCT00265083,15,early_withdrawal
I(age_std^2),-2.19,1.681,NCT00265083,15,early_withdrawal
sexTRUE,-2.155,1.139,NCT00265083,15,early_withdrawal
(Intercept),-2.378,1.786,NCT00265083,16,early_withdrawal
armtreat,-55.023,55.72,NCT00265083,16,early_withdrawal
age_std,-2.799,3.231,NCT00265083,16,early_withdrawal
I(age_std^2),-1.738,1.726,NCT00265083,16,early_withdrawal
sexTRUE,-18.578,2237.332,NCT00265083,16,early_withdrawal
como_cnt,0.209,0.537,NCT00265083,16,early_withdrawal
armtreat:age_std,-112.263,114.364,NCT00265083,16,early_withdrawal
armtreat:I(age_std^2),-57.567,58.217,NCT00265083,16,early_withdrawal
armtreat:sexTRUE,18.076,2237.333,NCT00265083,16,early_withdrawal
(Intercept),-2.557,1.67,NCT00265083,17,early_withdrawal
armtreat,-59.941,59.713,NCT00265083,17,early_withdrawal
age_std,-1.964,2.94,NCT00265083,17,early_withdrawal
I(age_std^2),-1.382,1.626,NCT00265083,17,early_withdrawal
sexTRUE,-18.397,2232.489,NCT00265083,17,early_withdrawal
como_cnt,1.143,1.488,NCT00265083,17,early_withdrawal
I(como_cnt^2),-0.29,0.516,NCT00265083,17,early_withdrawal
armtreat:age_std,-122.857,122.858,NCT00265083,17,early_withdrawal
armtreat:I(age_std^2),-63.013,62.634,NCT00265083,17,early_withdrawal
armtreat:sexTRUE,18.029,2232.489,NCT00265083,17,early_withdrawal
(Intercept),-1.187,1.616,NCT00265083,18,early_withdrawal
armtreat,-107.178,78.344,NCT00265083,18,early_withdrawal
age_std,-2.469,3.06,NCT00265083,18,early_withdrawal
I(age_std^2),-1.725,1.612,NCT00265083,18,early_withdrawal
sexTRUE,-19.98,3629.256,NCT00265083,18,early_withdrawal
como_cnt,-0.542,0.844,NCT00265083,18,early_withdrawal
armtreat:age_std,-209.54,156.454,NCT00265083,18,early_withdrawal
armtreat:I(age_std^2),-104.527,78.449,NCT00265083,18,early_withdrawal
armtreat:sexTRUE,17.686,3629.257,NCT00265083,18,early_withdrawal
armtreat:como_cnt,2.883,2.123,NCT00265083,18,early_withdrawal
(Intercept),-1.167,1.648,NCT00265083,19,early_withdrawal
armtreat,-93.856,2444.581,NCT00265083,19,early_withdrawal
age_std,-2.528,3.205,NCT00265083,19,early_withdrawal
I(age_std^2),-1.75,1.658,NCT00265083,19,early_withdrawal
sexTRUE,-21.005,5965.367,NCT00265083,19,early_withdrawal
como_cnt,-0.643,1.618,NCT00265083,19,early_withdrawal
I(como_cnt^2),0.036,0.474,NCT00265083,19,early_withdrawal
armtreat:age_std,-154.089,157.414,NCT00265083,19,early_withdrawal
armtreat:I(age_std^2),-78.577,78.905,NCT00265083,19,early_withdrawal
armtreat:sexTRUE,20.117,5965.368,NCT00265083,19,early_withdrawal
armtreat:como_cnt,26.734,3665.054,NCT00265083,19,early_withdrawal
armtreat:I(como_cnt^2),-8.194,1221.685,NCT00265083,19,early_withdrawal
(Intercept),-1.948,1.29,NCT00265083,20,early_withdrawal
armtreat,-52.336,53.652,NCT00265083,20,early_withdrawal
age_std,-2.549,3.042,NCT00265083,20,early_withdrawal
I(age_std^2),-1.673,1.645,NCT00265083,20,early_withdrawal
sexTRUE,-18.68,2240.29,NCT00265083,20,early_withdrawal
armtreat:age_std,-106.578,109.946,NCT00265083,20,early_withdrawal
armtreat:I(age_std^2),-54.713,55.931,NCT00265083,20,early_withdrawal
armtreat:sexTRUE,18.2,2240.29,NCT00265083,20,early_withdrawal
(Intercept),-4.037,0.628,NCT00265083,21,early_withdrawal
como_cnt,0.283,0.367,NCT00265083,21,early_withdrawal
(Intercept),-4.89,1.109,NCT00265083,22,early_withdrawal
como_cnt,2.239,1.655,NCT00265083,22,early_withdrawal
I(como_cnt^2),-0.635,0.568,NCT00265083,22,early_withdrawal
(Intercept),-3.372,0.789,NCT00265083,23,early_withdrawal
como_cnt,0.17,0.53,NCT00265083,23,early_withdrawal
armtreat,-1.371,1.317,NCT00265083,23,early_withdrawal
como_cnt:armtreat,0.274,0.745,NCT00265083,23,early_withdrawal
(Intercept),-3.671,1.03,NCT00265083,24,early_withdrawal
armtreat,-20.029,2566.589,NCT00265083,24,early_withdrawal
como_cnt,1.003,1.639,NCT00265083,24,early_withdrawal
I(como_cnt^2),-0.281,0.61,NCT00265083,24,early_withdrawal
armtreat:como_cnt,27.922,3849.881,NCT00265083,24,early_withdrawal
armtreat:I(como_cnt^2),-8.856,1283.293,NCT00265083,24,early_withdrawal
(Intercept),-2.935,0.985,NCT00265083,25,early_withdrawal
age_std,0.779,0.624,NCT00265083,25,early_withdrawal
como_cnt,0.066,0.411,NCT00265083,25,early_withdrawal
(Intercept),-3.81,1.332,NCT00265083,26,early_withdrawal
age_std,0.781,0.607,NCT00265083,26,early_withdrawal
como_cnt,2.104,1.677,NCT00265083,26,early_withdrawal
I(como_cnt^2),-0.667,0.567,NCT00265083,26,early_withdrawal
(Intercept),-2.475,1.02,NCT00265083,27,early_withdrawal
age_std,0.684,0.609,NCT00265083,27,early_withdrawal
como_cnt,-0.008,0.527,NCT00265083,27,early_withdrawal
armtreat,-1.26,1.351,NCT00265083,27,early_withdrawal
como_cnt:armtreat,0.275,0.756,NCT00265083,27,early_withdrawal
(Intercept),-2.81,1.193,NCT00265083,28,early_withdrawal
age_std,0.711,0.595,NCT00265083,28,early_withdrawal
armtreat,-20.103,2486.007,NCT00265083,28,early_withdrawal
como_cnt,1.032,1.704,NCT00265083,28,early_withdrawal
I(como_cnt^2),-0.352,0.645,NCT00265083,28,early_withdrawal
armtreat:como_cnt,28.026,3729.008,NCT00265083,28,early_withdrawal
armtreat:I(como_cnt^2),-8.874,1243.002,NCT00265083,28,early_withdrawal
(Intercept),-2.824,0.679,NCT00265083,29,early_withdrawal
age_std,0.82,0.571,NCT00265083,29,early_withdrawal
(Intercept),-2.582,1.065,NCT00265083,30,early_withdrawal
armtreat,-0.918,1.416,NCT00265083,30,early_withdrawal
age_std,0.698,0.77,NCT00265083,30,early_withdrawal
como_cnt,0.104,0.404,NCT00265083,30,early_withdrawal
armtreat:age_std,-0,1.157,NCT00265083,30,early_withdrawal
(Intercept),-3.331,1.359,NCT00265083,31,early_withdrawal
armtreat,-1.039,1.457,NCT00265083,31,early_withdrawal
age_std,0.804,0.781,NCT00265083,31,early_withdrawal
como_cnt,2.064,1.65,NCT00265083,31,early_withdrawal
I(como_cnt^2),-0.642,0.579,NCT00265083,31,early_withdrawal
armtreat:age_std,-0.146,1.211,NCT00265083,31,early_withdrawal
(Intercept),-2.392,1.121,NCT00265083,32,early_withdrawal
armtreat,-1.516,2.069,NCT00265083,32,early_withdrawal
age_std,0.763,0.782,NCT00265083,32,early_withdrawal
como_cnt,-0.025,0.535,NCT00265083,32,early_withdrawal
armtreat:age_std,-0.205,1.253,NCT00265083,32,early_withdrawal
armtreat:como_cnt,0.327,0.814,NCT00265083,32,early_withdrawal
(Intercept),-2.701,1.261,NCT00265083,33,early_withdrawal
armtreat,-20.375,2512.916,NCT00265083,33,early_withdrawal
age_std,0.825,0.774,NCT00265083,33,early_withdrawal
como_cnt,1.035,1.708,NCT00265083,33,early_withdrawal
I(como_cnt^2),-0.359,0.645,NCT00265083,33,early_withdrawal
armtreat:age_std,-0.29,1.225,NCT00265083,33,early_withdrawal
armtreat:como_cnt,27.987,3769.371,NCT00265083,33,early_withdrawal
armtreat:I(como_cnt^2),-8.845,1256.456,NCT00265083,33,early_withdrawal
(Intercept),-2.427,0.851,NCT00265083,34,early_withdrawal
armtreat,-0.879,1.416,NCT00265083,34,early_withdrawal
age_std,0.751,0.742,NCT00265083,34,early_withdrawal
armtreat:age_std,0.019,1.165,NCT00265083,34,early_withdrawal
(Intercept),-4.09,1.541,NCT00265083,35,early_withdrawal
age_std,-3.294,3.061,NCT00265083,35,early_withdrawal
I(age_std^2),-2.328,1.749,NCT00265083,35,early_withdrawal
como_cnt,0.219,0.424,NCT00265083,35,early_withdrawal
(Intercept),-4.587,1.665,NCT00265083,36,early_withdrawal
age_std,-2.702,2.957,NCT00265083,36,early_withdrawal
I(age_std^2),-2.011,1.68,NCT00265083,36,early_withdrawal
como_cnt,1.96,1.68,NCT00265083,36,early_withdrawal
I(como_cnt^2),-0.606,0.596,NCT00265083,36,early_withdrawal
(Intercept),-3.616,1.609,NCT00265083,37,early_withdrawal
age_std,-3.442,3.1,NCT00265083,37,early_withdrawal
I(age_std^2),-2.338,1.764,NCT00265083,37,early_withdrawal
como_cnt,0.12,0.619,NCT00265083,37,early_withdrawal
armtreat,-1.295,1.394,NCT00265083,37,early_withdrawal
como_cnt:armtreat,0.276,0.829,NCT00265083,37,early_withdrawal
(Intercept),-3.504,1.537,NCT00265083,38,early_withdrawal
age_std,-2.798,2.98,NCT00265083,38,early_withdrawal
I(age_std^2),-2.063,1.721,NCT00265083,38,early_withdrawal
armtreat,-20.168,2348.494,NCT00265083,38,early_withdrawal
como_cnt,0.824,1.984,NCT00265083,38,early_withdrawal
I(como_cnt^2),-0.292,0.856,NCT00265083,38,early_withdrawal
armtreat:como_cnt,28.088,3522.738,NCT00265083,38,early_withdrawal
armtreat:I(como_cnt^2),-8.846,1174.246,NCT00265083,38,early_withdrawal
(Intercept),-3.68,1.275,NCT00265083,39,early_withdrawal
age_std,-2.936,2.943,NCT00265083,39,early_withdrawal
I(age_std^2),-2.183,1.692,NCT00265083,39,early_withdrawal
(Intercept),-3.634,1.659,NCT00265083,40,early_withdrawal
armtreat,-57.027,56.348,NCT00265083,40,early_withdrawal
age_std,-1.929,2.937,NCT00265083,40,early_withdrawal
I(age_std^2),-1.34,1.596,NCT00265083,40,early_withdrawal
como_cnt,0.415,0.473,NCT00265083,40,early_withdrawal
armtreat:age_std,-119.75,116.617,NCT00265083,40,early_withdrawal
armtreat:I(age_std^2),-61.759,59.9,NCT00265083,40,early_withdrawal
(Intercept),-3.71,1.514,NCT00265083,41,early_withdrawal
armtreat,-62.097,60.579,NCT00265083,41,early_withdrawal
age_std,-0.722,2.495,NCT00265083,41,early_withdrawal
I(age_std^2),-0.85,1.347,NCT00265083,41,early_withdrawal
como_cnt,2.015,1.751,NCT00265083,41,early_withdrawal
I(como_cnt^2),-0.582,0.691,NCT00265083,41,early_withdrawal
armtreat:age_std,-130.681,125.364,NCT00265083,41,early_withdrawal
armtreat:I(age_std^2),-67.409,64.338,NCT00265083,41,early_withdrawal
(Intercept),-2.883,1.495,NCT00265083,42,early_withdrawal
armtreat,-84.12,72.941,NCT00265083,42,early_withdrawal
age_std,-1.286,2.741,NCT00265083,42,early_withdrawal
I(age_std^2),-1.125,1.483,NCT00265083,42,early_withdrawal
como_cnt,0.043,0.577,NCT00265083,42,early_withdrawal
armtreat:age_std,-171.608,151.348,NCT00265083,42,early_withdrawal
armtreat:I(age_std^2),-87.699,78.431,NCT00265083,42,early_withdrawal
armtreat:como_cnt,1.382,1.139,NCT00265083,42,early_withdrawal
(Intercept),-2.975,1.441,NCT00265083,43,early_withdrawal
armtreat,-86.244,2605.957,NCT00265083,43,early_withdrawal
age_std,-0.843,2.552,NCT00265083,43,early_withdrawal
I(age_std^2),-0.942,1.384,NCT00265083,43,early_withdrawal
como_cnt,0.963,1.862,NCT00265083,43,early_withdrawal
I(como_cnt^2),-0.347,0.767,NCT00265083,43,early_withdrawal
armtreat:age_std,-145.448,140.129,NCT00265083,43,early_withdrawal
armtreat:I(age_std^2),-75.485,72.528,NCT00265083,43,early_withdrawal
armtreat:como_cnt,25.667,3907.66,NCT00265083,43,early_withdrawal
armtreat:I(como_cnt^2),-8.119,1302.553,NCT00265083,43,early_withdrawal
(Intercept),-2.817,1.184,NCT00265083,44,early_withdrawal
armtreat,-51.137,52.621,NCT00265083,44,early_withdrawal
age_std,-1.24,2.657,NCT00265083,44,early_withdrawal
I(age_std^2),-1.111,1.464,NCT00265083,44,early_withdrawal
armtreat:age_std,-107.534,108.522,NCT00265083,44,early_withdrawal
armtreat:I(age_std^2),-55.541,55.582,NCT00265083,44,early_withdrawal
(Intercept),-2.863,0.701,NCT00265083,45,early_withdrawal
sexTRUE,-2.251,1.14,NCT00265083,45,early_withdrawal
como_cnt,0.115,0.37,NCT00265083,45,early_withdrawal
(Intercept),-3.783,1.195,NCT00265083,46,early_withdrawal
sexTRUE,-2.198,1.134,NCT00265083,46,early_withdrawal
como_cnt,1.969,1.648,NCT00265083,46,early_withdrawal
I(como_cnt^2),-0.551,0.527,NCT00265083,46,early_withdrawal
(Intercept),-2.128,0.91,NCT00265083,47,early_withdrawal
sexTRUE,-2.285,1.15,NCT00265083,47,early_withdrawal
como_cnt,-0.038,0.593,NCT00265083,47,early_withdrawal
armtreat,-1.429,1.33,NCT00265083,47,early_withdrawal
como_cnt:armtreat,0.304,0.772,NCT00265083,47,early_withdrawal
(Intercept),-2.259,1.135,NCT00265083,48,early_withdrawal
sexTRUE,-2.527,1.194,NCT00265083,48,early_withdrawal
armtreat,-22.279,2137.572,NCT00265083,48,early_withdrawal
como_cnt,0.386,1.442,NCT00265083,48,early_withdrawal
I(como_cnt^2),-0.13,0.42,NCT00265083,48,early_withdrawal
armtreat:como_cnt,30.832,3206.355,NCT00265083,48,early_withdrawal
armtreat:I(como_cnt^2),-9.533,1068.784,NCT00265083,48,early_withdrawal
(Intercept),-2.725,0.516,NCT00265083,49,early_withdrawal
sexTRUE,-2.299,1.128,NCT00265083,49,early_withdrawal
(Intercept),-2.046,0.792,NCT00265083,50,early_withdrawal
sexTRUE,-18.612,2388.681,NCT00265083,50,early_withdrawal
armtreat,-1.821,1.188,NCT00265083,50,early_withdrawal
como_cnt,0.125,0.397,NCT00265083,50,early_withdrawal
sexTRUE:armtreat,17.803,2388.681,NCT00265083,50,early_withdrawal
(Intercept),-2.843,1.245,NCT00265083,51,early_withdrawal
sexTRUE,-18.404,2341.261,NCT00265083,51,early_withdrawal
armtreat,-1.632,1.212,NCT00265083,51,early_withdrawal
como_cnt,1.543,1.576,NCT00265083,51,early_withdrawal
I(como_cnt^2),-0.412,0.515,NCT00265083,51,early_withdrawal
sexTRUE:armtreat,17.546,2341.261,NCT00265083,51,early_withdrawal
(Intercept),-1.743,0.899,NCT00265083,52,early_withdrawal
sexTRUE,-18.73,2388.37,NCT00265083,52,early_withdrawal
